target_company,business services_x,healthcare & life sciences_x,technology & software_x,africa_x,austria_x,belgium_x,canada_x,caribbean_x,china_x,france_x,germany_x,greece_x,india_x,ireland_x,israel_x,italy_x,japan and south korea_x,latam_x,luxembourg_x,middle east_x,netherlands_x,nordic_x,oceania_x,poland_x,portugal_x,rest of asia_x,rest of europe_x,rest of world_x,russia,spain_x,switzerland_x,turkey_x,united kingdom_x,united states_x,reported_ebitda_m_y1,deal_value_eur_m,pe_y,year,target,total portfolio companies,total spanish companies,total divested companies,total spanish divested companies,business services_y,healthcare & life sciences_y,technology & software_y,africa_y,austria_y,belgium_y,canada_y,caribbean_y,china_y,france_y,germany_y,greece_y,india_y,ireland_y,israel_y,italy_y,japan and south korea_y,latam_y,luxembourg_y,middle east_y,netherlands_y,nordic_y,oceania_y,poland_y,portugal_y,rest of asia_y,rest of europe_y,rest of world_y,spain_y,switzerland_y,turkey_y,united kingdom_y,united states_y,min_ebitda,max_ebitda,Tier_1,Tier_2,Tier_3,Tier_4,Tier_5
Bytelab Solutions SL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.09653145208701,556.4479717813051,abac capital sl,2024.0,1,16.0,16.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0
Tax Down SL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,5.0,abac capital sl,2024.0,1,16.0,16.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0
Iber Conseil Espana SA (75.00% stake),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.99432367149758,569.9432367149758,abac capital sl,2023.0,1,16.0,16.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0
Amphora Technologies SL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,1.0,abac capital sl,2021.0,1,16.0,16.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0
Grupo Agroponiente SL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.99432367149758,569.9432367149758,abac capital sl,2019.0,1,16.0,16.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0
Genologica Medica SL (100.00% stake),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.13987049028677,542.0980573543015,alantra private equity ,2023.0,1,13.0,11.0,53.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,30.0,1.0,0.0,0.0,0.0,0.0
"Genycell Biotech Espana SL; Health in Code, S.L; Instituto de Medicina Genomica, S.L.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.13987049028677,542.0980573543015,alantra private equity ,2019.0,1,13.0,11.0,53.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,30.0,1.0,0.0,0.0,0.0,0.0
"MBA Incorporado, S.L.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.84,160.0,alantra private equity ,2008.0,1,13.0,11.0,53.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,30.0,1.0,0.0,0.0,0.0,0.0
Ambuvital Transporte Sanitario SL (100.00% stake),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.13987049028677,542.0980573543015,asterion industrial partners sgeic sa,2024.0,1,20.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.33333333333333,23.33333333333334,1.0,0.0,0.0,0.0,0.0
Servicios Socio Sanitarios Generales SL (75.00% stake),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.99432367149758,569.9432367149758,asterion industrial partners sgeic sa,2023.0,1,20.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.33333333333333,23.33333333333334,1.0,0.0,0.0,0.0,0.0
